,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
v_1|pid_offset[0],-0.016589866074593198,0.9780682777631547,-1.5881330753287604,1.564191890400497,4017.772434641578,2879.378632802417,1.0003308827646817,0.015444481064886733,0.01112731751331885
v_1|pid_offset[1],-0.15325799989244315,0.9860097315782328,-1.7165663982027206,1.429861631260802,5511.470766912493,2955.088128336007,1.0018518805075614,0.013275254489178205,0.009464539960908284
v_1|pid_offset[10],0.03259651633954671,0.9954289792596048,-1.5468507961848985,1.6257224451420458,5104.969771900997,3120.9350354220473,1.000223363040023,0.013934732591186362,0.009917435128275595
v_1|pid_offset[100],0.22211143666327288,0.9944875980391163,-1.4033287481487022,1.7763151526952146,4457.456318221149,2917.4820423098145,1.0004743847600674,0.014920564363534708,0.010191484855762179
v_1|pid_offset[101],-0.029414419433761586,0.9438279004111029,-1.535575858219251,1.4574908409192526,4530.662456182149,2920.8879066711474,0.999734173984375,0.01401204837472899,0.01000367532115639
v_1|pid_offset[102],0.3621724675836002,1.0312151364285735,-1.2855987945295062,2.0515065556563594,3270.523734754393,2686.0655265566156,1.0018650850200734,0.01802479592175487,0.01229640447288223
v_1|pid_offset[103],-0.2657503008621021,1.0184778529804885,-1.879196871741235,1.3681313333434777,3072.9440111437166,2834.8316476533587,1.0008192329809076,0.018351641519327767,0.012873711971883875
v_1|pid_offset[104],-0.024012861768693612,0.9708062191269005,-1.5910880321911174,1.4803652973018329,4802.418876011991,3098.0001762061033,1.000704956514563,0.013941794807005185,0.010069733665028524
v_1|pid_offset[105],0.0834932410198031,0.9772940261543546,-1.4657568917538348,1.6334580601567295,4478.403224427772,3124.6878156064354,1.0008483939988462,0.014576987244817603,0.010502793316142145
v_1|pid_offset[106],0.12122407343718433,1.0008091568788704,-1.5297934585086699,1.7064016930802857,4651.643190902369,3069.9020842805166,1.0015579949724236,0.014655084319099362,0.010246314568173138
v_1|pid_offset[107],0.10329313825424007,0.9856957241131887,-1.477630025117512,1.6818240481743119,3800.1523658415467,2841.752937798467,1.00024265439409,0.016008758737213732,0.01132206911537287
v_1|pid_offset[108],-0.13598993371878249,0.9766988164214264,-1.6786789591094207,1.4524210903972665,4513.383947046042,2736.531745652132,1.0075728681370744,0.014566081739476192,0.010680310878606733
v_1|pid_offset[109],-0.015122637117218648,0.9883156642931098,-1.5869069433428082,1.5070216297690662,4329.283694331993,3043.1957222006445,1.0020658956934574,0.015004452957613419,0.010690739525906061
v_1|pid_offset[11],0.3342301965587792,1.020136620795424,-1.32280685716224,1.9398606164477188,3913.2003155778602,3043.2394215474264,1.0006844022696677,0.016279703871474697,0.011407439722929874
v_1|pid_offset[110],-0.046376993971408494,0.9688805823308062,-1.5967256803477772,1.5137987143536886,4767.348270729202,2965.7121357860347,1.002691906771023,0.014035558197244728,0.009995172462999276
v_1|pid_offset[111],0.06598820423936345,0.9931963049630909,-1.5565770671521786,1.6085636497167184,4412.124866822709,3044.61321402968,1.0008758440263503,0.01498869345044452,0.010682063489429803
v_1|pid_offset[112],0.12118674987502942,0.9890132890751057,-1.43896738432797,1.7262910037171397,4590.347738362659,3030.8145813464475,1.0001110313917132,0.014653012237490722,0.010674456265315
v_1|pid_offset[113],-0.054330208120406995,0.9927005621381801,-1.6170508260958947,1.4767080398280756,4822.476037955259,3068.7517403242045,0.9997010558041585,0.014309864359189987,0.010085424470156772
v_1|pid_offset[114],-0.12263187044649417,0.9807773314305707,-1.6960356935786265,1.4477422818523547,4257.348781731219,2386.9808728244147,1.0063167519086476,0.015010910496577313,0.01078116876542312
v_1|pid_offset[115],-0.10265037523849302,0.9680179551441963,-1.617579155166949,1.4827755102338758,4313.0681321405655,2954.850147304214,1.0010008992921513,0.01469625720236427,0.010460850956427284
v_1|pid_offset[116],0.1888926761075693,0.9749985003408955,-1.349167290843921,1.7330112280975372,4455.687436546283,2767.7170448453207,0.9998809437301442,0.014623544127277097,0.010486201789218517
v_1|pid_offset[117],-0.1996392810059191,0.9760093751141943,-1.7444051831983567,1.3338449768388014,4903.212635213225,2740.0705262600673,0.9999629731277773,0.013955577144882648,0.010050780685839757
v_1|pid_offset[118],-0.21005272962046348,1.0254110655393003,-1.8566237175155154,1.4242699825106913,4464.630001404436,2376.7055891145965,1.00036453341722,0.015369737699815757,0.011042104344062068
v_1|pid_offset[119],-0.052452506055191354,0.9836326317289171,-1.640403835931848,1.5585626052744541,5460.900936146472,2802.423787631129,1.0015865859919018,0.013299551744907937,0.009185103727667662
v_1|pid_offset[12],-0.1400474458230461,0.9639793292917633,-1.6813824300391615,1.4017182312489087,4313.992889556809,3139.7292439099724,1.000982673932426,0.014668497187562262,0.010432810027848556
