pid,alpha,correct,words,rt,response,near_ceiling
math-1203,0.0,1,2442,2.442,1,1
math-589,0.0,0,2056,2.056,-1,0
math-911,0.0,1,2252,2.252,1,0
math-187,0.0,1,1796,1.796,1,0
math-1221,0.0,0,2049,2.049,-1,0
math-649,0.0,0,1905,1.905,-1,0
math-1178,0.0,0,2538,2.538,-1,1
math-495,0.0,0,2904,2.904,-1,1
math-594,0.0,1,1891,1.891,1,0
math-376,0.0,1,1389,1.389,1,0
math-387,0.0,1,1815,1.815,1,0
math-382,0.0,0,2582,2.582,-1,1
math-67,0.0,0,2870,2.87,-1,1
math-1254,0.0,0,1728,1.728,-1,0
math-532,0.0,0,2403,2.403,-1,1
math-975,0.0,1,1562,1.562,1,0
math-141,0.0,1,1091,1.091,1,0
math-183,0.0,0,2090,2.09,-1,0
math-266,0.0,1,1218,1.218,1,0
math-306,0.0,1,859,0.859,1,0
math-79,0.0,1,825,0.825,1,0
math-1107,0.0,1,1869,1.869,1,0
math-801,0.0,1,2251,2.251,1,0
math-1074,0.0,1,669,0.669,1,0
math-564,0.0,0,2077,2.077,-1,0
math-788,1.0,1,1417,1.417,1,0
math-861,1.0,1,1206,1.206,1,0
math-82,1.0,1,1377,1.377,1,0
math-530,1.0,0,2393,2.393,-1,0
math-1047,1.0,1,1065,1.065,1,0
math-995,1.0,1,1746,1.746,1,0
math-829,1.0,1,1009,1.009,1,0
math-621,1.0,0,1759,1.759,-1,0
math-976,1.0,1,1168,1.168,1,0
math-733,1.0,0,1519,1.519,-1,0
math-1194,1.0,0,2266,2.266,-1,0
math-447,1.0,0,2715,2.715,-1,1
math-1033,1.0,1,1172,1.172,1,0
math-285,1.0,1,1337,1.337,1,0
math-577,1.0,1,1628,1.628,1,0
math-286,1.0,1,1959,1.959,1,0
math-194,1.0,1,1031,1.031,1,0
math-1266,1.0,0,2395,2.395,-1,0
math-513,1.0,1,2362,2.362,1,0
math-1090,1.0,1,2325,2.325,1,0
math-1232,1.0,0,2157,2.157,-1,0
math-300,1.0,1,2093,2.093,1,0
math-635,1.0,0,2581,2.581,-1,1
math-202,1.0,0,2540,2.54,-1,1
math-151,1.0,1,1264,1.264,1,0
math-676,1.0,0,1341,1.341,-1,0
math-966,1.0,0,2812,2.812,-1,1
math-1146,1.0,1,1722,1.722,1,0
math-206,1.0,1,1393,1.393,1,0
math-724,1.0,0,2212,2.212,-1,0
math-889,1.0,1,2029,2.029,1,0
math-647,1.0,0,2489,2.489,-1,1
math-1251,1.0,0,2109,2.109,-1,0
math-1311,1.0,0,2185,2.185,-1,0
math-418,1.0,0,2908,2.908,-1,1
math-1131,1.0,0,1505,1.505,-1,0
math-906,1.0,1,1959,1.959,1,0
math-1067,1.0,0,2269,2.269,-1,0
math-533,1.0,1,1411,1.411,1,0
math-127,1.0,1,2034,2.034,1,0
math-1123,1.0,1,1257,1.257,1,0
math-28,1.0,1,838,0.838,1,0
math-191,1.0,1,985,0.985,1,0
math-816,1.0,0,1823,1.823,-1,0
math-1280,1.0,0,1821,1.821,-1,0
math-2,1.0,1,1835,1.835,1,0
math-1253,1.0,0,2081,2.081,-1,0
math-1010,1.0,1,908,0.908,1,0
math-682,1.0,1,1009,1.009,1,0
math-499,1.0,1,1927,1.927,1,0
math-666,1.0,0,1975,1.975,-1,0
math-128,1.0,1,2209,2.209,1,0
math-391,1.0,0,1869,1.869,-1,0
math-1162,1.0,1,608,0.608,1,0
math-454,1.0,1,1825,1.825,1,0
math-488,1.0,0,2058,2.058,-1,0
math-291,1.0,1,1106,1.106,1,0
math-1112,1.0,1,2067,2.067,1,0
math-917,1.0,1,2825,2.825,1,1
math-186,1.0,1,750,0.75,1,0
math-164,1.0,1,2031,2.031,1,0
math-655,1.0,0,1488,1.488,-1,0
math-1040,1.0,1,1481,1.481,1,0
math-1002,1.0,0,2274,2.274,-1,0
math-223,1.0,1,978,0.978,1,0
math-617,1.0,0,1958,1.958,-1,0
math-1128,1.0,1,1782,1.782,1,0
math-596,1.0,1,1115,1.115,1,0
math-255,1.0,1,1509,1.509,1,0
math-1121,1.0,1,808,0.808,1,0
math-681,1.0,0,2011,2.011,-1,0
math-1106,1.0,1,937,0.937,1,0
math-416,1.0,0,3090,3.09,-1,1
math-1235,1.0,0,2691,2.691,-1,1
math-1120,1.0,1,1264,1.264,1,0
math-1203,1.0,1,2434,2.434,1,1
math-589,1.0,1,2264,2.264,1,0
math-911,1.0,1,1155,1.155,1,0
math-187,1.0,1,1042,1.042,1,0
math-1221,1.0,1,2147,2.147,1,0
math-649,1.0,0,1837,1.837,-1,0
math-1178,1.0,0,2273,2.273,-1,0
math-495,1.0,0,2673,2.673,-1,1
math-594,1.0,1,1091,1.091,1,0
math-376,1.0,1,1352,1.352,1,0
math-387,1.0,0,2000,2.0,-1,0
math-382,1.0,0,2609,2.609,-1,1
math-67,1.0,1,2530,2.53,1,1
math-1254,1.0,0,2039,2.039,-1,0
math-532,1.0,0,2316,2.316,-1,0
math-975,1.0,1,972,0.972,1,0
math-141,1.0,1,813,0.813,1,0
math-183,1.0,0,3344,3.344,-1,1
math-266,1.0,1,1375,1.375,1,0
math-306,1.0,1,744,0.744,1,0
math-79,1.0,1,828,0.828,1,0
math-1107,1.0,1,2727,2.727,1,1
math-801,1.0,1,1761,1.761,1,0
math-1074,1.0,1,1073,1.073,1,0
math-564,1.0,1,1846,1.846,1,0
